                               City of Charlottetown
                             2024/2025 Capital Budget


Information Technology                                  Budget

Laptops, Desktops & Monitors                                     160,000
Learn/LPR Server (Police Services)                               100,000
Rugged Devices                                                    15,000
Parkdale Streaming Technology                                     90,000
Fiber Network Hardware                                            50,000
City Networking Modernization                                     40,000
Fire Inspection Records Database Migration                        90,000
Network Hardware - MacAleer Drive to Brackley Fiber               40,000
Police - Forensic Server                                          20,000
IT Contingency                                                    40,000
Total Information Technology                                     645,000

Net Total Information Technology                                 645,000




                                                                           48
