                              City of Charlottetown
                            2024/2025 Capital Budget


Bell Aliant Centre (CARI)                                        Budget

Arena Compressors (annual)                                               60,000
Other minor Capital/Emergency Repairs (annual)                           60,000
Temp Dehumidification for Summer Until Permanent is Installed            87,000
Consultation for Refrigeration System                                    50,000
Sinks and Faucets (Rink Concourse Hallway & Pool Change Rooms)           70,000
Suspended Infrared Heaters Rinks                                         30,000
EV Charging Stations                                                     28,000
Phase 2 - Refrigeration Systems Replacement rink B                    1,500,000
Total Bell Aliant Centre (CARI)                                       1,885,000
Less: External Partner Funding                                        (359,190)
Net Total Bell Aliant Centre (CARI)                                   1,525,810




                                                                                  70
