                                                                                                                  31




                                       CITY OF CHARLOTTETOWN
                                       2025/2026 Operating Budget

Detailed Breakdown of Budget Item                              -                   Notes/Comments

                                                   0           -
Economic Development - Business                                -
 Investment Program:                                           -     0
102296 PEI Inc - Year 4 of 5                                   -     As per agreement
80 Grafton Street - Year 5 of 5                                -     As per agreement
141 Kent Street - Year 9 of 10                                 -     As per agreement
150|152 Kent Street - Year 4 of 5                              -     As per agreement
Arts Hotel - Year 2 of 5                                       -     As per agreement
CADC - Year 5 of 5                                             -     As per agreement
CADC|BIO - Year 2 of 10                                        -     As per agreement
Canada's Island Garden - Year 5 of 5                           -     As per agreement
                                                   0           -     0
                                                   0       149,863   0
 Miscellaneous:                                                -     0
Committee Meals|etc.                                           -     0
                                                   0           -     0
                                                   0         3,000   0
                                                   0           -     0
Economic Development - Tourism                                 -     0
 Memberships & Partnerships:                                   -     0
Canadian Capital Cities Organization                           -     0
East Coast Music Association                                   -     0
Event Atlantic                                                 -     0
Tourism Industry Association of PEI                            -     0
                                                   0           -     0
                                                   0        15,000   0
                                                   0           -     0
 Tourism:                                                      -     0
Printing|Signage                                               -     0
Staff Uniforms                                                 -     0
                                                   0           -     0
                                                   0         5,000   0
                                                   0           -     0
 Staff Development:                                            -     0
National Conferences                                           -     IFEA (1), Tourism Congress
Training Materials & Registration                              -     IFEA (2), Webinars, FAM Tour participation
                                                   0           -     0
                                                   0        14,000   0
                                                   0           -     0
 Travel & Transportation:                                      -     0
Staff Mileage                                                  -     0
                                                   0           -     0
                                                   0           500   0
                                                   0           -     0
 Advertising & Communications:                                 -     0
Discover Charlottetown Travel Guide                            -     0
Social Media Promotional Support                               -     Transferred from Salaries & Benefits
                                                   0           -     0
                                                   0        18,000   0
                                                   0           -     0
 Miscellaneous:                                                -     0
                                                   0           -     0
                                                   0           500   0


                                                                                                            31
