                                                                                                         52




                                               CITY OF CHARLOTTETOWN
                                               2025/2026 Operating Budget

Detailed Breakdown of Budget Item                                        -         Notes/Comments

                                                                 0       -
Human Resources                                                          -     0
 Organizational Development:                                             -     0
Employee Engagement Survey                                               -     0
Team Building Facilitation                                               -     0
OHS Conference PEI                                                       -     0
Before Operational Stress (BOS)                                          -     0
Corporate Wellness Workshop                                              -     0
Strength Warrior Program                                                 -     0
New Manager Certification Training                                       -     0
                                                                 0       -     0
                                                                 0    45,874   0
                                                                 0       -     0
 Staff Development:                                                      -     0
Annual Memberships (CPHR, NPI, HSPC, CAMA)                               -     0

Various training Required to maintain memberships and designations       -     0
Conferences and Workshops                                                -     0
Misc. Council Training                                                   -     0
Travel to Conferences and Training                                       -     0
                                                                  0   30,560   0
                                                                  0      -     0
 Miscellaneous:                                                          -     0
Departmental Subscriptions                                               -     0
                                                                  0      -     0
                                                                  0    4,500   0
                                                                  0      -     0
 Small Miscellaneous Equipment:                                          -     0
Office Furniture                                                         -     0
                                                                  0      -     0
                                                                  0    3,000   0
                                                                  0      -     0
 Employee Assisstance Program:                                           -     0
HumanaCare                                                               -     0
                                                                  0      -     0
                                                                  0   10,500   0




                                                                                                    52
