                                                                                                       66




                                             CITY OF CHARLOTTETOWN
                                             2025/2026 Operating Budget

Detailed Breakdown of Budget Item                                    -       Notes/Comments

                                                          0          -
Parks and Recreation                                                 -   0
QE Park Building Power                                               -                             -
QE Park Building Sewer & Water                                       -                             -
East Royalty Soccer Power                                            -                             -
East Royalty Soccer Maintenance                                      -                             -
Parks Power                                                          -                             -
Parks Sewer & Water                                                  -                             -
VP Caretakers Building Fuel                                          -                             -
Parks Plumbing                                                       -                             -
Parks Tree Planting                                                  -                             -
East Royalty Maintenance Building Sewer & Water                      -                             -
East Royalty Maintenance                                             -                             -
Powder House Maintenance                                             -                             -
VP Maintenance Building - Maintenance                                -                             -
VP Maintenance Building - Security                                   -                             -
VP Pool House Sewer & Water                                          -                             -
VP Caretakers Building - Maintenance                                 -                             -
VP Tennis Building Sewer & Water                                     -                             -
VP Tennis Building Security                                          -                             -
Winsloe Soccer Building Maintenance                                  -                             -
Central Field Building Water & Sewer                                 -                             -
Central Field Building Security                                      -                             -
Mulberry Park Maintenance                                            -                             -
JF McAulay Park Building Power                                       -                             -
JF McAulay Park Building Maintenance                                 -                             -
QE Park Building Maintenance                                         -                             -
East Royalty Soccer Sewer & Water                                    -                             -
East Royalty Soccer Security                                         -                             -
                                                          0      428,555                           -
                                                          0          -                             -
 Repairs and Maintenance - Vehicles and Equipment                    -                             -
Parks Trucks Repairs and Maintenance                                 -                             -
Parks Equipment (Tractors, Lawnmowers, etc)                          -                             -
Gas & Oil Vehicles                                                   -                             -
Equipment Miscellaneous                                              -                             -
                                                          0          -                             -
                                                          0      205,875                           -
                                                          0          -                             -
 Sportsfields and Facilities Maintenance                             -                             -
Contract Work                                                        -                             -
                                                          0       50,000                           -
 Trail Maintenance                                                   -                             -
Trail repair / signage and amenities                                 -                             -
Boardwalk replacement                                                -                             -
Benches and garbage cans                                             -                             -
Confederation Trail Repairs                                          -                             -
                                                          0       30,000                           -

                                                          0          -                             -
 Miscellaneous                                                       -                             -
Park Miscellaneous                                                   -                             -
                                                          0        9,000                           -



                                                                                              66
