                                                                                                  78




                                         CITY OF CHARLOTTETOWN
                                         2025/2026 Operating Budget

Detailed Breakdown of Budget Item                                 -         Notes/Comments

                                                      0           -
Police                                                            -     0
 PROS - Police Reporting & Occurence System:                      -     0
Occurrence tracking                                               -     0
Statistics                                                        -     0
Files and forms                                                   -     0
                                                      0         5,000   0
                                                      0           -     0
 Emergency Recording Equipment:                                   -     0
Maintenance/upgrade agreements                                    -     0
and storage discs                                                 -     0
                                                      0         7,500   0
                                                      0           -     0
 Community Policing:                                              -     0
Funds to be used to promote positive                              -     0
policing programs such as Dept Choir,                             -     0
Healthy ME Program                                                -     0
updating media                                                    -     0
brochures, handouts                                               -     0
                                                      0           -     0
                                                      0        20,000   0




                                                                                             78
