                                                                                       133




                                    CITY OF CHARLOTTETOWN
                                     2025/2026 Capital Budget

Charlottetown Water & Sewer                                                  Budget

Mt. Edward Road Booster                                                      200,000
Eastern Gateway Water and Sewer Rehabilitation                               100,000
Seaview Reconstruction                                                       100,000
Tangible Capital Asset Purchase                                              247,500
Control System Upgrades                                                       60,000
Residential Metering                                                         395,500
Motor Vehicles                                                               290,000
Charlottetown Pollution Control Plant Upgrades (Resiliency Improvements)     200,000
University Avenue Reconstruction                                              30,000
Wellfield Protection                                                       1,000,000
Malpeque Station Refurbishment                                               200,000
Capital Planning Engineering                                                 250,000
Water Distribution System Upgrades                                         1,335,000
Collector Sewer Liftstations Rehabilitation                                  700,000
Sewer Liftstation Rehabilitation & Enhancement                               250,000
Aeration Tank Rehabilitation                                                 625,000
Polymer & Dewatering Upgrades                                                400,000
Water Street Reconstruction                                                  200,000
North River Road Phase 1                                                     350,000
Total Water & Sewer                                                        6,933,000

Net Total Water & Sewer                                                    6,933,000




                                                                              133
