                                                                              140




                                     CITY OF CHARLOTTETOWN
                                      2025/2026 Capital Budget

Charlottetown Bell Aliant Centre (CARI)                             Budget

Air Compressors                                                      60,000
Other minor Capital/Emergency Repairs                                60,000
Turnstile Security System - Aquatic Entrance                         13,500
Arena A Seating Replacement (Section 9)                              15,000
Additional Security Cameras                                          50,000
 Phase 2 - Refrigeration & Dehumidification Systems Replacement   7,140,000
Heat Pump Replacement (3 Units #3,5,6)                              135,000


Total Bell Aliant Centre (CARI)                                   7,473,500
Less: External Partner Funding/Other Party Contributions          1,110,588
Net Total Bell Aliant Center (CARI) - City Portion                6,362,912




                                                                     140
