                                                                                                     43




                                            CITY OF CHARLOTTETOWN
                                            2025/2026 Operating Budget

Detailed Breakdown of Budget Item                                    -         Notes/Comments

                                                        0            -
Finance, Audit and Fiscal Services                                   -     0
 General Coverage, Munical Vehicles, Self Insurer:                   -     0
                                                        0            -     0
                                                        0            -     0
                                                        0        944,631   0
                                                        0            -     0
                                                        0            -     0
Other                                                                -     0
 Agreements & Grants:                                                -     0
                                                        0            -     0
                                                        0            -     0
                                                        0      3,722,085   0
                                                        0            -     0
 Stipends to Citizen Representatives:                                -     0
                                                        0            -     0
                                                        0            -     0
                                                        0         42,000   0
                                                        0            -     0
 Elections:                                                          -     0
                                                        0            -     0
                                                        0            -     0
                                                        0         75,000   0
                                                        0            -     0
 Fleet Management:                                                   -     0
                                                        0            -     0
                                                        0            -     0
                                                        0        129,000   0
                                                        0            -     0
 Extraordinary Expenses:                                             -     0
                                                        0            -     0
                                                        0            -     0
                                                        0      1,500,000   0




                                                                                                43
