                                                                                                             51




                                                CITY OF CHARLOTTETOWN
                                                2025/2026 Operating Budget

Detailed Breakdown of Budget Item                                            -         Notes/Comments

                                                                   0         -
Human Resources                                                              -     0
 Salaries & Benefits:                                                        -     0
Health & Safety Officer                                                      -     0
Assistant Manager                                                            -     0
Payroll Services Officer                                                     -     0
Manager - Human Resources                                                    -     0
Human Resources Services Officer                                                   0
Human Resources Executive Officer                                            -     0
Payroll Services Officer                                                     -     0
Human Resources Policy & Procedures Coordinator                              -     0
Health & Safety Officer                                                      -     0
Recruitment Coordinator                                                      -     0
Payroll and HR Coordinator                                                   -     0
                                                                   0   1,171,898   0
                                                                   0         -     0
 Office Supplies:                                                            -     0
                                                                   0       1,150   0
                                                                   0         -     0
 Employee Services:                                                          -     0
Staff BBQ                                                                    -     0
Service Awards                                                               -     0
Staff Engagement Activities                                                  -     0
Employee Appreciation Day                                                    -     0
Staff Appreciation                                                           -     0
Volunteer Thank You's                                                        -     0
Cards                                                                        -     0
Pension Commission Meetings                                                  -     0
Retirement Session                                                           -     0
Noise Survey                                                                 -     0
Audiometric Testing                                                          -     0
Personal Protective Equipment for Field and Demo/training Use                -     0
Audiometric Testing Equipment Annual Calibration                             -     0
Audiometric Testing Database Software                                        -     0
                                                                   0      66,335   0
                                                                   0         -     0
                                                                   0         -     0
 Payroll Services:                                                           -     0
ADP Workforce Now Solution                                                   -     0
                                                                   0         -     0
                                                                   0      95,000   0
                                                                   0         -     0
 Contract Services:                                                          -     0


Ongoing negotiations, arbitrations, meeting space and legal fees            -      0
Job Evaluation Committee Training                                           -      0
Korn Ferry Assistance with Job Evaluation Project                           -      0
                                                                   0     65,000    0
                                                                   0        -      0




                                                                                                        51
