                                                                                                             64




                                                 CITY OF CHARLOTTETOWN
                                                 2025/2026 Operating Budget

Detailed Breakdown of Budget Item                                        -         Notes/Comments

                                                              0          -
Parks and Recreation                                                     -     0
Simmons                                                                  -                               -
 Revenue                                                                 -                               -
                                                              0          -                               -
                                                              0          -                               -
                                                              0      385,000                             -
                                                              0          -                               -
 Salaries and Benefits                                                   -                               -
Superintendent (50%)                                                     -                               -
Assistant Ice Maker (2 Permanent / 1 Seasonal)                           -                               -
Overtime / Service Pay                                                   -                               -
Casual Wages                                                             -                               -
                                                              0          -                               -
                                                                         -                               -
                                                              0          -                               -
                                                              0      414,125                             -
                                                              0          -                               -
 Staff Development                                                       -                               -
Training / Uniforms / OHS                                                -                               -
                                                              0        4,350                             -
                                                              0          -                               -
 Utilities                                                               -                               -
Lights / Power                                                           -                               -
Sewer & Water                                                            -                               -
Heater Fuel - Propane                                                    -                               -
                                                              0          -                               -
                                                              0      187,500                             -
 Repairs and Maintenance                                                 -                               -
Repairs Equipment                                                        -                               -
Plumbing                                                                 -                               -
Cleaning                                                                 -                               -
Garbage                                                                  -                               -
Paint                                                                    -                               -
Refridgeration                                                           -                               -
Electrical                                                               -                               -
Lumber & Hardware                                                        -                               -
Glass                                                                    -                               -
Miscellaneous                                                            -                               -
Snow Removal                                                             -                               -
                                                              0       64,600                             -
                                                              0          -                               -
 Small Projects                                                          -                               -
                                                              0       15,000                             -
                                                              0          -                               -
 Miscellaneous                                                           -                               -
Security / Canteen Food                                                  -                               -
                                                              0       11,950                             -
 Vehicles                                                                -                               -
Gas and Oil - Equipment                                                  -                               -
                                                              0          250                             -




                                                                                                    64
