                                                                                                                        70




                                         CITY OF CHARLOTTETOWN
                                         2025/2026 Operating Budget

Detailed Breakdown of Budget Item                                 -                   Notes/Comments
                                                     0            -
Planning and Heritage                                             -     0
Planning                                                          -     0
Revenue:                                                          -     0
Licenses/Building Permits                                         -     0
Rezonings/Variances                                               -     0
Zoning Inquiry                                                    -     0
Subdivisions/Agreements                                           -     0
STR Licenses                                                      -     0
Bylaws/Maps                                                       -     0
Housing Accelerator Fund                                          -     0
                                                     0            -     0
                                                     0      4,767,679   0
                                                     0            -     0
 Salaries & Benefits:                                             -     0
Manager, Policy & Heritage                                        -     0
Manager, Development                                              -     0
Manager of Building Inspector Services                                  Funding From Housing Accelerator Fund
Chief Building Official                                           -     0
Planner III (2)                                                   -     0
Planner II (3)                                                    -     0
Planner I (2)                                                     -     0
Building Inspector II (2)
                                                                  -     Partial funding from Housing Accelerator Fund
Building Inspector I (2)                                          -     0
Heritage Officer                                                  -     Funding from Housing Accelerator Fund
Admin Assistant Planning (2)                                      -     0
Heritage Officer Contract                                         -     0
Digitization Records Tech Casual (2)                              -     0
Planning Consultant Contract                                      -     0
Admin Assistant Planning Contract                                 -     0
                                                     0            -     0
                                                     0      2,379,972   0
                                                     0            -     0
 Office Supplies:                                                 -     0
                                                     0            -     0
                                                     0            -     0
                                                     0         15,000   0
                                                     0            -     0
 Staff Development:                                               -     0
Staff Training & Registrations                                    -     Conferences, Professional Certifications
                                                     0            -     0
                                                     0         45,000   0
                                                     0            -     0
 Travel & Transportation:                                         -     0
Travel - Staff                                                    -     0
Travel - Elected Officials                                        -     0
                                                     0         10,000   0
                                                     0            -     0
 Design Review Board:                                             -     0
Board Meals, Expenses                                             -     0
                                                     0            -     0
                                                     0         24,000   0



                                                                                                               70
