                                                                                                           76




                                                  CITY OF CHARLOTTETOWN
                                                  2025/2026 Operating Budget

Detailed Breakdown of Budget Item                                          -         Notes/Comments

                                                               0           -
Police                                                                     -     0
 Atlantic Police Academy & Canadian Police College:                        -     0
Training - Provincial Police Act & Atlantic Police Academy                 -     0
Canadian Police College                                                    -     0
                                                               0       105,000   0
                                                               0           -     0
 Clothing:                                                                 -     0
                                                               0       144,000   0
                                                               0           -     0
 Advertising & Communications:                                             -     0
Advertising and Media                                                      -     0
                                                               0           -     0
                                                               0        15,000   0
                                                               0           -     0
 Miscellaneous:                                                            -     0
Towing charges                                                             -     0
Vehicles impounded for investigational purposes                            -     0
Ambulance fees - Prisoner transfers to hospital                            -     0
Parking ticket refunds                                                     -     0
Witness fees and expenses                                                  -     0
Payment of all non-police witnesses                                        -     0
Chiefs of Police Association fees                                          -     0
First Aid supplies - For police vehicles                                   -     0
Minor expenditures not covered in other codes                              -     0
                                                               0       200,000   0
                                                               0           -     0
 Insurance Claims:                                                         -     0
Provision for the City's payment of the                                    -     0
deductible amount on City insurance claims                                 -     0
                                                               0        10,000   0
                                                               0           -     0
 Phones & Radios:                                                          -     0
                                                               0         8,500   0
                                                               0           -     0
 Gas & Oil:                                                                -     0
                                                               0       175,000   0
                                                               0           -     0
 Vehicle Maintenance & Repairs:                                            -     0
                                                               0       125,000   0
 Rental of CIB Vehicle Surveillance:                                       -     0
                                                               0        14,000   0




                                                                                                      76
