                                                                                                          77




                                                 CITY OF CHARLOTTETOWN
                                                 2025/2026 Operating Budget

Detailed Breakdown of Budget Item                                         -         Notes/Comments

                                                              0           -
Police                                                                    -     0
 Law Books:                                                               -     0
                                                              0         3,000   0
 Breathalyzer & CPIC:                                                     -     0
Lease costs and supplies for                                              -     0
Breathalyzer units and Roadside Screening Devices                         -     0
                                                              0        17,000   0
                                                              0           -     0
 Flashlights & Batteries:                                                 -     0
                                                              0         2,500   0
 Identification Supplies:                                                 -     0
                                                              0        12,000   0
                                                              0           -     0
 Ammunition:                                                              -     0
                                                              0        30,000   0
                                                              0           -     0
 Inmate Meals:                                                            -     0
Funds payable to the Province of PEI for the housing of                   -     0
prisoners associated to arrest by this Dept. Costs                        -     0
are associated to "lock up" situations only and not                       -     0
to sentenced prisoners                                                    -     0
                                                              0           -     0
                                                              0        22,600   0
                                                              0           -     0
 Humane Society (Annual Contract):                                        -     0
Annual contract costs associated to                                       -     0
dog control complaint response                                            -     0
Other costs related to calls and                                          -     0
unclaimed animals                                                         -     0
                                                              0       132,600   0
                                                              0           -     0
 Operational Expenses (Drug Enforcement)                                  -     0
                                                              0       100,000   0
                                                              0           -     0
 Police Hardware & Emergency Responce:                                    -     0
Replacement bar lights patrol screens, seat inserts                       -     0
Use of force training equipment                                           -     0
Duty belts                                                                -     0
Body armour                                                               -     0
Less Lethal Supplies                                                      -     0
Misc other items                                                          -     0
                                                              0       100,000   0




                                                                                                     77
