                                                                        118




                                  CITY OF CHARLOTTETOWN
                                   2025/2026 Capital Budget

Police                                                        Budget

Portable Radios                                                85,000
Surveillance Equipment                                        250,000
E-Watch Equipment                                              50,000
Small Equip & Less Lethal Weapons System                       50,000
Ballistic Helmets                                              50,000
Side Arm Replacement                                           20,000
Pro Laser IV - Lidar Speed Enforcement                         22,000
Carbine Vehicle Mounts                                         13,000
Critical Incident Command                                      25,000
Tactical Team Equipment                                        50,000
Digital Forensic Equipment & Licensing                         25,000
Total Police                                                  640,000


Net Total Police                                              640,000




                                                               118
