                                       CITY OF CHARLOTTETOWN
                                        2026/2027 Capital Budget


Charlottetown Eastlink Centre                                        Budget

Concert rigging grid                                                 500,000
Staging and crowd-control barricades                                 160,000
Box Office Renovation                                                 35,000
Tables & Chairs                                                      225,000
Zamboni                                                              150,000
Compressor room upgrade                                               75,000
Total Eastlink Centre                                              1,145,000

Net Total Eastlink Centre                                          1,145,000




                                                                           146
