page_number,printed_page_label,section,title_guess,content_type,text_extraction_method,embedded_line_count,table_candidate,table_family,column_pattern,entities,periods,amount_line_count,numeric_token_count,repeated_header,continuation_candidate,continuation_group,confidence,review_reasons
1,,Front matter,OPERATING,text_or_divider,embedded_text,5,False,,,[],"[""2026/2027""]",0,2,False,False,,medium,[]
2,,Front matter,Table of Contents,text_or_divider,embedded_text,45,False,,,"[""City of Charlottetown""]","[""2026/2027""]",0,40,False,False,,medium,[]
3,,Front matter,Table of Contents Cont.,text_or_divider,embedded_text,31,False,,,"[""Bell Aliant Centre"", ""Eastlink Centre"", ""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2026/2027""]",0,30,False,False,,medium,[]
4,4,Front matter,About the City of Charlottetown,text_or_divider,embedded_text,32,False,,,"[""City of Charlottetown""]",[],4,7,False,False,,medium,[]
5,5,Front matter,"Introduction from the Chair of the Finance,",text_or_divider,embedded_text,30,False,,,[],"[""2026/2027""]",0,5,False,False,,medium,[]
6,6,Front matter,Mayor and Council,text_or_divider,embedded_text,8,False,,,[],[],0,11,False,False,,medium,[]
7,7,Strategic Plan,City of Charlottetown Strategic Plan,text_or_divider,embedded_text,32,False,,,"[""City of Charlottetown""]","[""2022"", ""2026""]",0,6,False,False,,medium,[]
8,8,Strategic Plan,Our Guiding Principles,text_or_divider,embedded_text,16,False,,,[],"[""2022-2026"", ""2026"", ""2027-2031""]",0,7,False,False,,medium,[]
9,9,Budget Overview,Budget Overview,text_or_divider,embedded_text,26,False,,,"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025"", ""2026""]",0,10,False,False,,medium,[]
10,10,Budget Overview,Understanding Operating vs. Capital Budgets,text_or_divider,embedded_text,20,False,,,[],[],0,1,False,False,,medium,[]
11,11,Budget Overview,Engagement,text_or_divider,embedded_text,25,False,,,"[""City of Charlottetown""]","[""2026-2027""]",0,15,False,False,,medium,[]
12,12,Budget Overview,Capital City Context and Service Pressures,table_or_profile,embedded_text,34,True,overview_summary,"item | amount (2023, 2026)",[],"[""2023"", ""2026""]",4,8,False,False,,medium,[]
13,13,Budget Overview,Growing Demand for Municipal Services,text_or_divider,embedded_text,29,False,,,"[""City of Charlottetown""]","[""2015"", ""2020"", ""2024"", ""2025""]",1,10,False,False,,medium,[]
14,14,Budget Overview,Services You Receive,text_or_divider,embedded_text,17,False,,,[],[],0,1,False,False,,medium,[]
15,15,Budget Overview,Funding & Taxation,table_or_profile,embedded_text,36,True,tax_assessment_rate,class | assessment | rate | revenue,"[""Charlottetown Water and Sewer""]",[],0,9,False,False,,medium,[]
16,16,Budget Overview,Innovation Task Force,text_or_divider,embedded_text,17,False,,,[],"[""2025""]",0,2,False,False,,medium,[]
17,,Operating Budget,and,text_or_divider,embedded_text,5,False,,,"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2026/2027""]",0,2,False,False,,medium,[]
18,18,Operating Budget,2026/2027 Budget,table_or_profile,embedded_text,22,True,operating_statement,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",9,29,False,False,continuation-001,medium,[]
19,19,Operating Budget,2026/2027 Budget,table_or_profile,embedded_text,32,True,operating_statement,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",12,38,False,True,continuation-001,medium,"[""adjacent same-family page; continuation requires visual review""]"
20,20,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,40,True,operating_statement,"item | budget | forecast (2025/2026, 2026/2027)","[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026"", ""2026/2027""]",31,100,False,True,continuation-001,medium,"[""adjacent same-family page; continuation requires visual review""]"
21,21,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,47,True,operating_detail,"item | budget | forecast | variance (2025/26, 2026/2027, 2026/27)","[""City of Charlottetown""]","[""2025/26"", ""2026/2027"", ""2026/27""]",35,119,True,False,continuation-002,high,[]
22,22,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,38,True,operating_detail,"item | budget | forecast (2025/26, 2026/2027, 2026/27)","[""City of Charlottetown""]","[""2025/26"", ""2026/2027"", ""2026/27""]",27,88,True,True,continuation-002,high,"[""adjacent same-family page; continuation requires visual review""]"
23,23,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,24,True,tax_assessment_rate,class | assessment | rate | revenue,[],"[""2026"", ""2026/2027""]",0,30,False,False,,medium,[]
24,,Operating Budget,CHARLOTTETOWN,text_or_divider,ocr_fallback,1,False,,,[],[],0,0,False,False,,medium,[]
25,25,Operating Budget,City Government,text_or_divider,embedded_text,27,False,,,[],[],0,1,False,False,,medium,[]
26,26,Operating Budget,Communications,text_or_divider,embedded_text,19,False,,,[],[],0,1,False,False,,medium,[]
27,27,Operating Budget,Information Technology,text_or_divider,embedded_text,20,False,,,[],[],0,1,False,False,,medium,[]
28,28,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,46,True,operating_statement,"item | budget | forecast (2025/2026, 2026/2027)","[""City of Charlottetown""]","[""2025/2026"", ""2026/2027""]",30,99,False,False,,medium,[]
29,29,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,41,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",4,13,True,False,continuation-003,high,[]
30,30,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,38,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",7,11,True,True,continuation-003,high,"[""adjacent same-family page; continuation requires visual review""]"
31,31,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,35,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",6,17,True,True,continuation-003,high,"[""adjacent same-family page; continuation requires visual review""]"
32,32,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,37,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",4,11,True,True,continuation-003,high,"[""adjacent same-family page; continuation requires visual review""]"
33,33,Operating Budget,0 -,table_or_profile,embedded_text,38,True,operating_statement,item | amount (unlabeled period),[],[],6,23,False,False,,medium,[]
34,34,Operating Budget,"Economic, Tourism and Cultural",text_or_divider,embedded_text,27,False,,,[],"[""2027""]",0,2,False,False,,medium,[]
35,35,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,49,True,operating_statement,"item | budget | forecast (2025/2026, 2026/2027)","[""City of Charlottetown""]","[""2025/2026"", ""2026/2027""]",20,81,False,False,continuation-004,medium,[]
36,36,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,25,True,operating_statement,"item | budget | forecast (2025/2026, 2026/2027)","[""City of Charlottetown""]","[""2025/2026"", ""2026/2027""]",12,47,False,True,continuation-004,medium,"[""adjacent same-family page; continuation requires visual review""]"
37,37,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,38,True,operating_detail,item | budget (2026/2027),"[""Eastlink Centre"", ""City of Charlottetown""]","[""2026/2027""]",6,12,True,False,continuation-005,high,[]
38,38,Operating Budget,2026/2027 Operating Budget,table_or_profile,embedded_text,36,True,operating_detail,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",6,24,True,True,continuation-005,high,"[""adjacent same-family page; continuation requires visual review""]"
