                                      CITY OF CHARLOTTETOWN
                                       2026/2027 Capital Budget


 Fire and Emergency Preparedness                                    Budget

  New Fire Station Build                                          6,000,000
  Firefighter Turnout Gear                                          250,000
  Small Equipment                                                   200,000
  Fast Response Craft                                               400,000
  Fire Engine Replacement                                         2,000,000
  Self-Contained Breathing Aparatus                                 240,000
  Communications Equipment                                          320,000


 Total Fire                                                       9,410,000
 Less: External Partner Funding                                    (200,000)

 Net Total Fire and Emergency Preparedness                        9,210,000




117
