                                         CITY OF CHARLOTTETOWN
                                          2026/2027 Capital Budget


Charlottetown Water & Sewer                                            Budget

Miltonvale Wellfield Reservoir                                          135,000
Mount Edward Road Booster                                               200,000
Eastern Gateway Water and Sewer                                          35,000
Seaview Reconstruction                                                  124,000
Tangible Capital Asset Purchase                                         150,000
Control System Upgrades                                                  60,000
Residential Metering                                                    395,500
Motor Vehicles - W & E                                                  290,000
Harley Street Rehabilitation                                            154,302
CPCP Upgrades - Resiliency                                              400,000
Other Capital Equipment                                                 740,000
Water Supply - Contingency                                              200,000
University Avenue Reconstruction                                         30,000
Wellfield Protection                                                  1,000,000
Malpeque Station Refurbishment                                          200,000
Capital Planning Engineering                                            250,000
Spencer Drive Extension                                               2,500,000
Water Distribution System Upgrade                                       700,000
Collector Sewer Liftstations Rehab                                    1,200,000
CPCP Contingency                                                        200,000
Charlottetown Pollution Control Plant                                    31,950
Sewer Liftstation Rehab & Enhancements                                  250,000
Aeration Tank Rehab                                                   1,250,000
Polymer and Dewatering Upgrades                                         400,000
Water Street Reconstruction                                             200,000
Exhibition Drive Reconstruction                                       2,300,000

Total Water & Sewer                                                  13,395,752
Less: External Partner Funding                                       (6,500,000)
Net Total Water & Sewer                                              6,895,752




                                                                               144
