                                          CITY OF CHARLOTTETOWN
                                           2026/2027 Capital Budget


 Charlottetown Bell Aliant Center (CARI)                               Budget

  Contingency                                                            60,000
  Compressor Upgrades - Arena A                                          60,000
  Phase 2 - Refrigeration & Dehumidification Systems Replacement        149,000
  Arena A - Dasher Boards & Glass                                       393,200
  Arena A - Seating Replacement                                         315,000
  Heat Pump Replacement (5 Units)                                       120,000
  Merchandise Desk - Millwork                                            75,000
  Hoist to Penthouse                                                     50,000
  Expansion Joint Replacement in Concourse                               45,000
  Overhead Doors - Rink A&B                                              45,000
  Exhaust Fans in Filter Room                                            20,000
  Water Pumps in Filter Room                                             20,000

  Total Bell Aliant Center (CARI)                                     1,352,200
  Less: External Partner Funding/External Party Contributions         (497,133)
  Net Total Bell Aliant Center (CARI)                                  855,067




147
