table_key,document_key,page_key,page_number,title_guess,section,table_family,statement_class,periods,continuation_candidate,continuation_of_page_key,disposition,confidence,review_reasons
ctown_fs_city_2024_03_31_audited_p006_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p006,6,reece |,Primary statements,financial_position,financial_position,"[""2023"", ""2024""]",False,,profiled_for_gate_3_schema_spike,high,[]
ctown_fs_city_2024_03_31_audited_p007_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p007,7,CITY OF CHARLOTTETOWN,Primary statements,operations,operations,"[""2023"", ""2024""]",False,,profiled_for_gate_3_schema_spike,high,[]
ctown_fs_city_2024_03_31_audited_p008_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p008,8,en aera,Primary statements,changes_in_net_debt,changes_in_net_debt,"[""2023"", ""2024""]",False,,profiled_for_gate_3_schema_spike,high,[]
ctown_fs_city_2024_03_31_audited_p009_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p009,9,ee re,Primary statements,cash_flow,cash_flow,"[""2023"", ""2024""]",False,,profiled_for_gate_3_schema_spike,high,[]
ctown_fs_city_2024_03_31_audited_p012_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p012,12,CITY OF CHARLOTTETOWN,Notes,note_disclosure_table,,"[""2024""]",False,,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p013_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p013,13,ena eee),Notes,note_disclosure_table,,"[""2024""]",True,ctown_fs_city_2024_03_31_audited_p012,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p015_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p015,15,CITY OF CHARLOTTETOWN,Notes,note_disclosure_table,,"[""2023"", ""2024""]",False,,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p016_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p016,16,a aa,Notes,note_disclosure_table,,"[""2023"", ""2024""]",True,ctown_fs_city_2024_03_31_audited_p015,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p017_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p017,17,CITY OF CHARLOTTETOWN,Notes,note_disclosure_table,,"[""2023"", ""2024""]",True,ctown_fs_city_2024_03_31_audited_p016,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p018_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p018,18,CITY OF CHARLOTTETOWN,Notes,note_disclosure_table,,"[""2023"", ""2024"", ""2026""]",True,ctown_fs_city_2024_03_31_audited_p017,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p019_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p019,19,ieee ae ree,Notes,note_disclosure_table,,"[""2000"", ""2022"", ""2024"", ""2025""]",True,ctown_fs_city_2024_03_31_audited_p018,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p020_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p020,20,ee i,Notes,note_disclosure_table,,"[""2023"", ""2024""]",True,ctown_fs_city_2024_03_31_audited_p019,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p021_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p021,21,a ee ee,Notes,note_disclosure_table,,"[""2023"", ""2024""]",True,ctown_fs_city_2024_03_31_audited_p020,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p022_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p022,22,CITY OF CHARLOTTETOWN,Notes,note_disclosure_table,,"[""2023"", ""2024""]",True,ctown_fs_city_2024_03_31_audited_p021,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p023_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p023,23,eNO,Notes,note_disclosure_table,,"[""2016"", ""2023"", ""2024""]",True,ctown_fs_city_2024_03_31_audited_p022,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p024_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p024,24,CITY OF CHARLOTTETOWN,Notes,note_disclosure_table,,"[""2015"", ""2023"", ""2024""]",True,ctown_fs_city_2024_03_31_audited_p023,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p025_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p025,25,CITY OF CHARLOTTETOWN,Notes,note_disclosure_table,,"[""2020"", ""2023"", ""2024"", ""2026"", ""2028"", ""2030"", ""2031"", ""2032"", ""2033"", ""2036"", ""2038"", ""2039"", ""2045"", ""2054""]",True,ctown_fs_city_2024_03_31_audited_p024,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p026_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p026,26,CITY OF CHARLOTTETOWN,Notes,note_disclosure_table,,"[""2015"", ""2023"", ""2024"", ""2025"", ""2026"", ""2027"", ""2028"", ""2029""]",True,ctown_fs_city_2024_03_31_audited_p025,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p027_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p027,27,ne ee,Notes,note_disclosure_table,,"[""2014"", ""2016"", ""2024"", ""2025""]",True,ctown_fs_city_2024_03_31_audited_p026,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p028_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p028,28,CITY OF CHARLOTTETOWN,Notes,budget_reconciliation_note,,"[""2000"", ""2024""]",False,,profiled_for_gate_3_schema_spike,low,"[""low OCR confidence; visual source review required before extraction""]"
ctown_fs_city_2024_03_31_audited_p029_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p029,29,CITY OF CHARLOTTETOWN,Notes,note_disclosure_table,,"[""2023"", ""2024""]",False,,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p030_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p030,30,See,Notes,note_disclosure_table,,"[""2016"", ""2023"", ""2024""]",True,ctown_fs_city_2024_03_31_audited_p029,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p032_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p032,32,— - —M—w>wo—+—S> 27,Schedules,tangible_capital_assets_schedule,,"[""2024""]",False,,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_city_2024_03_31_audited_p033_t01,ctown_fs_city_2024_03_31_audited,ctown_fs_city_2024_03_31_audited_p033,33,— 28,Schedules,tangible_capital_assets_schedule,,"[""2024""]",True,ctown_fs_city_2024_03_31_audited_p032,profiled_for_gate_3_schema_spike,medium,[]
