page_key,page_number,printed_page_label,content_type,disposition,section,title_guess,statement_class,table_candidate,table_family,text_extraction_method,embedded_character_count,ocr_character_count,ocr_word_count,ocr_mean_confidence,ocr_rotation_degrees,amount_token_count,numeric_line_count,periods,continuation_candidate,continuation_of_page_key,confidence,review_reasons
ctown_fs_city_2025_03_31_audited_p001,1,,cover,administrative_front_matter,Front matter,CITY OF CHARLOTTETOWN,,False,,ocr_full_page,0,80,11,94.59,0,0,1,"[""2025""]",False,,high,[]
ctown_fs_city_2025_03_31_audited_p002,2,,index,administrative_front_matter,Front matter,INDEX TO FINANCIAL STATEMENTS,,False,,ocr_full_page,0,438,63,94.18,0,0,2,[],False,,high,[]
ctown_fs_city_2025_03_31_audited_p003,3,,management_responsibility,administrative_front_matter,Front matter,nN ae vena on ere OnE,,False,,ocr_full_page,0,2056,285,94.1,0,0,1,"[""2025""]",False,,medium,[]
ctown_fs_city_2025_03_31_audited_p004,4,,auditor_report,administrative_front_matter,Auditor report,INDEPENDENT AUDITOR'S REPORT,,False,,ocr_full_page,0,2443,359,96.28,0,0,2,"[""2025""]",False,,medium,[]
ctown_fs_city_2025_03_31_audited_p005,5,3,auditor_report,administrative_front_matter,Auditor report,Auditor's Responsibilities for the Audit of the Consolidated Financial Statements,,False,,ocr_full_page,0,3204,479,95.21,0,0,1,"[""2025""]",False,,medium,[]
ctown_fs_city_2025_03_31_audited_p006,6,,financial_statement,financial_table_candidate,Primary statements,CITY OF CHARLOTTETOWN,financial_position,True,financial_position,ocr_full_page,0,1429,198,91.7,0,43,28,"[""2024"", ""2025""]",False,,high,[]
ctown_fs_city_2025_03_31_audited_p007,7,5,financial_statement,financial_table_candidate,Primary statements,CITY OF CHARLOTTETOWN,operations,True,operations,ocr_full_page,0,2165,273,94.07,0,98,40,"[""2024"", ""2025""]",False,,high,[]
ctown_fs_city_2025_03_31_audited_p008,8,,financial_statement,financial_table_candidate,Primary statements,ec),changes_in_net_debt,True,changes_in_net_debt,ocr_full_page,0,914,130,92.3,0,30,15,"[""2024"", ""2025""]",False,,high,[]
ctown_fs_city_2025_03_31_audited_p009,9,,financial_statement,financial_table_candidate,Primary statements,CITY OF CHARLOTTETOWN,cash_flow,True,cash_flow,ocr_full_page,0,1880,250,93.95,0,58,32,"[""2024"", ""2025""]",False,,high,[]
ctown_fs_city_2025_03_31_audited_p010,10,,notes,financial_note_narrative,Notes,a a eS,,False,,ocr_full_page,0,2800,404,95.45,0,0,1,"[""2025""]",False,,medium,[]
ctown_fs_city_2025_03_31_audited_p011,11,,notes,financial_note_narrative,Notes,CITY OF CHARLOTTETOWN,,False,,ocr_full_page,0,2456,348,95.66,0,0,2,"[""1998"", ""2025""]",False,,medium,[]
ctown_fs_city_2025_03_31_audited_p012,12,,notes,financial_table_candidate,Notes,CITY OF CHARLOTTETOWN,,True,note_disclosure_table,ocr_full_page,0,2190,345,96.11,0,0,3,"[""2025""]",False,,medium,[]
ctown_fs_city_2025_03_31_audited_p013,13,,notes,financial_table_candidate,Notes,ee),,True,note_disclosure_table,ocr_full_page,0,2391,360,96.05,0,1,9,"[""2025""]",True,ctown_fs_city_2025_03_31_audited_p012,medium,[]
ctown_fs_city_2025_03_31_audited_p014,14,,notes,financial_note_narrative,Notes,CITY OF CHARLOTTETOWN,,False,,ocr_full_page,0,2514,381,96.04,0,0,1,"[""2025""]",False,,medium,[]
ctown_fs_city_2025_03_31_audited_p015,15,,notes,financial_table_candidate,Notes,a i,,True,note_disclosure_table,ocr_full_page,0,2897,425,94.17,0,17,13,"[""2024"", ""2025""]",False,,medium,[]
ctown_fs_city_2025_03_31_audited_p016,16,,notes,financial_table_candidate,Notes,CITY OF CHARLOTTETOWN,,True,note_disclosure_table,ocr_full_page,0,1700,248,90.59,0,38,24,"[""2024"", ""2025""]",True,ctown_fs_city_2025_03_31_audited_p015,medium,[]
ctown_fs_city_2025_03_31_audited_p017,17,,notes,financial_table_candidate,Notes,ere ne PO ee,,True,note_disclosure_table,ocr_full_page,0,1345,181,90.99,0,41,26,"[""2024"", ""2025""]",True,ctown_fs_city_2025_03_31_audited_p016,medium,[]
ctown_fs_city_2025_03_31_audited_p018,18,,notes,financial_table_candidate,Notes,a a a ),,True,note_disclosure_table,ocr_full_page,0,2226,342,94.5,0,26,19,"[""2024"", ""2025"", ""2026""]",True,ctown_fs_city_2025_03_31_audited_p017,medium,[]
ctown_fs_city_2025_03_31_audited_p019,19,,notes,financial_table_candidate,Notes,eve enn See,,True,note_disclosure_table,ocr_full_page,0,2905,467,93.43,0,5,23,"[""2000"", ""2022"", ""2024"", ""2025""]",True,ctown_fs_city_2025_03_31_audited_p018,medium,[]
ctown_fs_city_2025_03_31_audited_p020,20,,notes,financial_table_candidate,Notes,CITY OF CHARLOTTETOWN,,True,note_disclosure_table,ocr_full_page,0,1697,228,93.82,0,52,28,"[""2024"", ""2025""]",True,ctown_fs_city_2025_03_31_audited_p019,medium,[]
ctown_fs_city_2025_03_31_audited_p021,21,,notes,financial_table_candidate,Notes,cE _,,True,note_disclosure_table,ocr_full_page,0,1936,276,93.93,0,54,30,"[""2024"", ""2025""]",True,ctown_fs_city_2025_03_31_audited_p020,medium,[]
ctown_fs_city_2025_03_31_audited_p022,22,,notes,financial_table_candidate,Notes,eee,,True,note_disclosure_table,ocr_full_page,0,2423,366,94.98,0,33,22,"[""2024"", ""2025""]",True,ctown_fs_city_2025_03_31_audited_p021,medium,[]
ctown_fs_city_2025_03_31_audited_p023,23,,notes,financial_table_candidate,Notes,CITY OF CHARLOTTETOWN,,True,note_disclosure_table,ocr_full_page,0,2921,424,93.74,0,2,19,"[""2024"", ""2025"", ""2028""]",True,ctown_fs_city_2025_03_31_audited_p022,medium,[]
ctown_fs_city_2025_03_31_audited_p024,24,,notes,financial_table_candidate,Notes,ee enn ve Te,,True,note_disclosure_table,ocr_full_page,0,1433,219,92.75,0,32,25,"[""2015"", ""2024"", ""2025""]",True,ctown_fs_city_2025_03_31_audited_p023,medium,[]
ctown_fs_city_2025_03_31_audited_p025,25,,notes,financial_table_candidate,Notes,CITY OF CHARLOTTETOWN,,True,note_disclosure_table,ocr_full_page,0,1995,280,94.47,0,35,33,"[""2024"", ""2025"", ""2028"", ""2030"", ""2031"", ""2032"", ""2033"", ""2036"", ""2038"", ""2039"", ""2045"", ""2054""]",True,ctown_fs_city_2025_03_31_audited_p024,medium,[]
ctown_fs_city_2025_03_31_audited_p026,26,,notes,financial_table_candidate,Notes,CITY OF CHARLOTTETOWN,,True,note_disclosure_table,ocr_full_page,0,1713,277,96.03,0,10,14,"[""2024"", ""2025"", ""2026"", ""2027"", ""2028"", ""2029"", ""2030""]",True,ctown_fs_city_2025_03_31_audited_p025,medium,[]
ctown_fs_city_2025_03_31_audited_p027,27,,notes,financial_table_candidate,Notes,ee 2,,True,note_disclosure_table,ocr_full_page,0,1511,241,95.33,0,9,12,"[""2015"", ""2016"", ""2024"", ""2025"", ""2026""]",True,ctown_fs_city_2025_03_31_audited_p026,medium,[]
ctown_fs_city_2025_03_31_audited_p028,28,,notes,financial_table_candidate,Notes,ree),,True,budget_reconciliation_note,ocr_full_page,0,1541,219,68.9,0,38,23,"[""2025""]",False,,low,"[""low OCR confidence; visual source review required before extraction""]"
ctown_fs_city_2025_03_31_audited_p029,29,,notes,financial_table_candidate,Notes,CITY OF CHARLOTTETOWN,,True,note_disclosure_table,ocr_full_page,0,1402,200,91.37,0,40,27,"[""2024"", ""2025""]",False,,medium,[]
ctown_fs_city_2025_03_31_audited_p030,30,,notes,financial_table_candidate,Notes,CITY OF CHARLOTTETOWN,,True,note_disclosure_table,ocr_full_page,0,2820,446,96.09,0,4,11,"[""2016"", ""2024"", ""2025""]",True,ctown_fs_city_2025_03_31_audited_p029,medium,[]
ctown_fs_city_2025_03_31_audited_p031,31,29,notes,financial_table_candidate,Notes,CITY OF CHARLOTTETOWN,,True,note_disclosure_table,ocr_full_page,0,1985,281,95.58,0,2,7,"[""2025"", ""2026""]",True,ctown_fs_city_2025_03_31_audited_p030,medium,[]
ctown_fs_city_2025_03_31_audited_p032,32,,schedule,financial_table_candidate,Schedules,——————————_—___—_— we ——.een aaa 30,,True,tangible_capital_assets_schedule,ocr_full_page,0,1682,231,86.73,270,99,16,"[""2025""]",False,,medium,[]
ctown_fs_city_2025_03_31_audited_p033,33,,schedule,financial_table_candidate,Schedules,Sm CTI 31,,True,tangible_capital_assets_schedule,ocr_full_page,0,1540,221,88.44,270,92,16,"[""2025""]",True,ctown_fs_city_2025_03_31_audited_p032,medium,[]
ctown_fs_city_2025_03_31_audited_p034,34,,schedule,financial_table_candidate,Schedules,— Ao Oo lOOMVar se 32,,True,tangible_capital_assets_schedule,ocr_full_page,0,1639,227,88.3,270,97,16,"[""2024""]",True,ctown_fs_city_2025_03_31_audited_p033,medium,[]
ctown_fs_city_2025_03_31_audited_p035,35,,schedule,financial_table_candidate,Schedules,$$ 9 958g ae 33,,True,tangible_capital_assets_schedule,ocr_full_page,0,1573,223,86.5,270,96,16,"[""2024""]",True,ctown_fs_city_2025_03_31_audited_p034,medium,[]
ctown_fs_city_2025_03_31_audited_p036,36,,schedule,financial_table_candidate,Schedules,ee ee,,True,segmented_disclosure_schedule,ocr_full_page,0,1685,283,85.6,270,71,22,"[""2025""]",False,,medium,[]
ctown_fs_city_2025_03_31_audited_p037,37,,schedule,financial_table_candidate,Schedules,ee _WMMWMMM 35,,True,segmented_disclosure_schedule,ocr_full_page,0,1717,288,85.22,270,71,23,"[""2024""]",True,ctown_fs_city_2025_03_31_audited_p036,medium,[]
