page_key,page_number,printed_page_label,content_type,disposition,section,title_guess,statement_class,table_candidate,table_family,text_extraction_method,embedded_character_count,ocr_character_count,ocr_word_count,ocr_mean_confidence,ocr_rotation_degrees,amount_token_count,numeric_line_count,periods,continuation_candidate,continuation_of_page_key,confidence,review_reasons
ctown_fs_city_sa_2024_12_31_audited_p001,1,,cover,administrative_front_matter,Front matter,CITY OF CHARLOTTETOWN,,False,,ocr_full_page,0,88,11,95.46,0,0,1,"[""2024""]",False,,high,[]
ctown_fs_city_sa_2024_12_31_audited_p002,2,,index,administrative_front_matter,Front matter,INDEX TO FINANCIAL STATEMENTS,,False,,ocr_full_page,0,313,45,95.8,0,0,1,[],False,,high,[]
ctown_fs_city_sa_2024_12_31_audited_p003,3,,management_responsibility,administrative_front_matter,Front matter,MANAGEMENT'S RESPONSIBILITY FOR THE FINANCIAL STATEMENTS,,False,,ocr_full_page,0,1672,232,96.23,0,0,1,"[""2025""]",False,,medium,[]
ctown_fs_city_sa_2024_12_31_audited_p004,4,,auditor_report,administrative_front_matter,Auditor report,INDEPENDENT AUDITOR'S REPORT,,False,,ocr_full_page,0,3404,504,95.99,0,0,2,"[""2024""]",False,,medium,[]
ctown_fs_city_sa_2024_12_31_audited_p005,5,3,auditor_report,administrative_front_matter,Auditor report,"° Identify and assess the risks of material misstatement of the financial statements, whether due to",,False,,ocr_full_page,0,2203,335,94.25,0,0,1,"[""2025""]",False,,medium,[]
ctown_fs_city_sa_2024_12_31_audited_p006,6,,financial_statement,financial_table_candidate,Primary statements,eee,financial_position,True,financial_position,ocr_full_page,0,769,114,84.9,0,20,13,"[""2023"", ""2024""]",False,,high,[]
ctown_fs_city_sa_2024_12_31_audited_p007,7,,financial_statement,financial_table_candidate,Primary statements,a eee,changes_in_net_assets_available_for_benefits,True,changes_in_net_assets_available_for_benefits,ocr_full_page,0,1069,154,93.5,0,35,21,"[""2023"", ""2024""]",False,,high,[]
ctown_fs_city_sa_2024_12_31_audited_p008,8,6,financial_statement,financial_table_candidate,Primary statements,CITY OF CHARLOTTETOWN SUPERANNUATION PLAN,changes_in_pension_obligations,True,changes_in_pension_obligations,ocr_full_page,0,651,90,94.34,0,16,11,"[""2023"", ""2024""]",False,,high,[]
ctown_fs_city_sa_2024_12_31_audited_p009,9,,notes,financial_table_candidate,Notes,ee ee,,True,note_disclosure_table,ocr_full_page,0,2821,465,95.69,0,0,6,"[""1949"", ""2024""]",False,,medium,[]
ctown_fs_city_sa_2024_12_31_audited_p010,10,,notes,financial_table_candidate,Notes,ee eee,,True,note_disclosure_table,ocr_full_page,0,3524,571,95.85,0,0,10,"[""2024""]",True,ctown_fs_city_sa_2024_12_31_audited_p009,medium,[]
ctown_fs_city_sa_2024_12_31_audited_p011,11,,notes,financial_table_candidate,Notes,a ee,,True,note_disclosure_table,ocr_full_page,0,3473,546,95.53,0,0,4,"[""2023"", ""2024""]",True,ctown_fs_city_sa_2024_12_31_audited_p010,medium,[]
ctown_fs_city_sa_2024_12_31_audited_p012,12,,notes,financial_table_candidate,Notes,CITY OF CHARLOTTETOWN SUPERANNUATION PLAN,,True,note_disclosure_table,ocr_full_page,0,2875,430,96.07,0,0,3,"[""2023"", ""2024""]",True,ctown_fs_city_sa_2024_12_31_audited_p011,medium,[]
ctown_fs_city_sa_2024_12_31_audited_p013,13,11,notes,financial_table_candidate,Notes,CITY OF CHARLOTTETOWN SUPERANNUATION PLAN,,True,note_disclosure_table,ocr_full_page,0,1502,222,94.58,0,39,17,"[""2023"", ""2024""]",True,ctown_fs_city_sa_2024_12_31_audited_p012,medium,[]
ctown_fs_city_sa_2024_12_31_audited_p014,14,,notes,financial_table_candidate,Notes,ee nee ne,,True,note_disclosure_table,ocr_full_page,0,2269,356,91.56,0,54,30,"[""2023"", ""2024""]",True,ctown_fs_city_sa_2024_12_31_audited_p013,medium,[]
ctown_fs_city_sa_2024_12_31_audited_p015,15,,notes,financial_table_candidate,Notes,CITY OF CHARLOTTETOWN SUPERANNUATION PLAN,,True,note_disclosure_table,ocr_full_page,0,1882,284,94.47,0,22,19,"[""2022"", ""2023"", ""2024"", ""2025""]",True,ctown_fs_city_sa_2024_12_31_audited_p014,medium,[]
ctown_fs_city_sa_2024_12_31_audited_p016,16,,notes,financial_table_candidate,Notes,CITY OF CHARLOTTETOWN SUPERANNUATION PLAN,,True,note_disclosure_table,ocr_full_page,0,1194,185,93.54,0,2,6,"[""2023"", ""2024""]",True,ctown_fs_city_sa_2024_12_31_audited_p015,medium,[]
ctown_fs_city_sa_2024_12_31_audited_p017,17,,notes,financial_table_candidate,Notes,ee),,True,note_disclosure_table,ocr_full_page,0,3269,524,95.99,0,0,5,"[""2023"", ""2024""]",True,ctown_fs_city_sa_2024_12_31_audited_p016,medium,[]
ctown_fs_city_sa_2024_12_31_audited_p018,18,,notes,financial_table_candidate,Notes,CITY OF CHARLOTTETOWN SUPERANNUATION PLAN,,True,note_disclosure_table,ocr_full_page,0,1641,264,96.01,0,0,4,"[""2023"", ""2024""]",True,ctown_fs_city_sa_2024_12_31_audited_p017,medium,[]
