page_key,page_number,printed_page_label,content_type,disposition,section,title_guess,statement_class,table_candidate,table_family,text_extraction_method,embedded_character_count,ocr_character_count,ocr_word_count,ocr_mean_confidence,ocr_rotation_degrees,amount_token_count,numeric_line_count,periods,continuation_candidate,continuation_of_page_key,confidence,review_reasons
ctown_fs_ws_2025_03_31_audited_p001,1,,cover,administrative_front_matter,Front matter,CHARLOTTETOWN WATER AND SEWER CORPORATION,,False,,ocr_full_page,0,77,10,95.86,0,0,1,"[""2025""]",False,,high,[]
ctown_fs_ws_2025_03_31_audited_p002,2,,index,administrative_front_matter,Front matter,INDEX TO FINANCIAL STATEMENTS,,False,,ocr_full_page,0,335,51,95.56,0,0,2,[],False,,high,[]
ctown_fs_ws_2025_03_31_audited_p003,3,,management_responsibility,administrative_front_matter,Front matter,a ee eee: |,,False,,ocr_full_page,0,1960,275,95.32,0,0,1,"[""2025""]",False,,medium,[]
ctown_fs_ws_2025_03_31_audited_p004,4,,auditor_report,administrative_front_matter,Auditor report,eer OO,,False,,ocr_full_page,0,3354,498,95.97,0,0,2,"[""2025""]",False,,medium,[]
ctown_fs_ws_2025_03_31_audited_p005,5,3,auditor_report,administrative_front_matter,Auditor report,"° identify and assess the risks of material misstatement of the financial statements, whether due to fraud or",,False,,ocr_full_page,0,2186,330,94.24,0,0,1,"[""2025""]",False,,medium,[]
ctown_fs_ws_2025_03_31_audited_p006,6,,financial_statement,financial_table_candidate,Primary statements,eee,financial_position,True,financial_position,ocr_full_page,0,1176,164,91.26,0,34,22,"[""2024"", ""2025""]",False,,high,[]
ctown_fs_ws_2025_03_31_audited_p007,7,,financial_statement,financial_table_candidate,Primary statements,ee),operations,True,operations,ocr_full_page,0,1667,220,92.75,0,75,33,"[""2024"", ""2025""]",False,,high,[]
ctown_fs_ws_2025_03_31_audited_p008,8,6,financial_statement,financial_table_candidate,Primary statements,CHARLOTTETOWN WATER AND SEWER CORPORATION,changes_in_net_debt,True,changes_in_net_debt,ocr_full_page,0,733,113,94.2,0,23,12,"[""2024"", ""2025""]",False,,high,[]
ctown_fs_ws_2025_03_31_audited_p009,9,,financial_statement,financial_table_candidate,Primary statements,an ae ee,cash_flow,True,cash_flow,ocr_full_page,0,1246,174,93.43,0,36,22,"[""2024"", ""2025""]",False,,high,[]
ctown_fs_ws_2025_03_31_audited_p010,10,,notes,financial_note_narrative,Notes,anv OSS E,,False,,ocr_full_page,0,2463,363,95.17,0,0,1,"[""2025""]",False,,medium,[]
ctown_fs_ws_2025_03_31_audited_p011,11,,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION,,True,note_disclosure_table,ocr_full_page,0,2696,412,96.24,0,1,8,"[""2025""]",False,,medium,[]
ctown_fs_ws_2025_03_31_audited_p012,12,,notes,financial_table_candidate,Notes,eee,,True,note_disclosure_table,ocr_full_page,0,2740,434,95.84,0,0,11,"[""2025""]",True,ctown_fs_ws_2025_03_31_audited_p011,medium,[]
ctown_fs_ws_2025_03_31_audited_p013,13,,notes,financial_table_candidate,Notes,CHARLOTTETOWN WATER AND SEWER CORPORATION,,True,note_disclosure_table,ocr_full_page,0,2328,331,93.43,0,26,18,"[""2024"", ""2025""]",True,ctown_fs_ws_2025_03_31_audited_p012,medium,[]
