table_key,document_key,page_key,page_number,title_guess,section,table_family,statement_class,periods,continuation_candidate,continuation_of_page_key,disposition,confidence,review_reasons
ctown_fs_ws_2025_03_31_audited_p006_t01,ctown_fs_ws_2025_03_31_audited,ctown_fs_ws_2025_03_31_audited_p006,6,eee,Primary statements,financial_position,financial_position,"[""2024"", ""2025""]",False,,profiled_for_gate_3_schema_spike,high,[]
ctown_fs_ws_2025_03_31_audited_p007_t01,ctown_fs_ws_2025_03_31_audited,ctown_fs_ws_2025_03_31_audited_p007,7,ee),Primary statements,operations,operations,"[""2024"", ""2025""]",False,,profiled_for_gate_3_schema_spike,high,[]
ctown_fs_ws_2025_03_31_audited_p008_t01,ctown_fs_ws_2025_03_31_audited,ctown_fs_ws_2025_03_31_audited_p008,8,CHARLOTTETOWN WATER AND SEWER CORPORATION,Primary statements,changes_in_net_debt,changes_in_net_debt,"[""2024"", ""2025""]",False,,profiled_for_gate_3_schema_spike,high,[]
ctown_fs_ws_2025_03_31_audited_p009_t01,ctown_fs_ws_2025_03_31_audited,ctown_fs_ws_2025_03_31_audited_p009,9,an ae ee,Primary statements,cash_flow,cash_flow,"[""2024"", ""2025""]",False,,profiled_for_gate_3_schema_spike,high,[]
ctown_fs_ws_2025_03_31_audited_p011_t01,ctown_fs_ws_2025_03_31_audited,ctown_fs_ws_2025_03_31_audited_p011,11,CHARLOTTETOWN WATER AND SEWER CORPORATION,Notes,note_disclosure_table,,"[""2025""]",False,,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_2025_03_31_audited_p012_t01,ctown_fs_ws_2025_03_31_audited,ctown_fs_ws_2025_03_31_audited_p012,12,eee,Notes,note_disclosure_table,,"[""2025""]",True,ctown_fs_ws_2025_03_31_audited_p011,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_2025_03_31_audited_p013_t01,ctown_fs_ws_2025_03_31_audited,ctown_fs_ws_2025_03_31_audited_p013,13,CHARLOTTETOWN WATER AND SEWER CORPORATION,Notes,note_disclosure_table,,"[""2024"", ""2025""]",True,ctown_fs_ws_2025_03_31_audited_p012,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_2025_03_31_audited_p014_t01,ctown_fs_ws_2025_03_31_audited,ctown_fs_ws_2025_03_31_audited_p014,14,CHARLOTTETOWN WATER AND SEWER CORPORATION,Notes,note_disclosure_table,,"[""2000"", ""2022"", ""2024"", ""2025"", ""2028""]",True,ctown_fs_ws_2025_03_31_audited_p013,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_2025_03_31_audited_p015_t01,ctown_fs_ws_2025_03_31_audited,ctown_fs_ws_2025_03_31_audited_p015,15,ne a a,Notes,note_disclosure_table,,"[""2024"", ""2025""]",True,ctown_fs_ws_2025_03_31_audited_p014,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_2025_03_31_audited_p016_t01,ctown_fs_ws_2025_03_31_audited,ctown_fs_ws_2025_03_31_audited_p016,16,a ee ENN,Notes,note_disclosure_table,,"[""2024"", ""2025"", ""2030"", ""2031"", ""2032"", ""2033"", ""2038"", ""2045"", ""2054""]",True,ctown_fs_ws_2025_03_31_audited_p015,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_2025_03_31_audited_p017_t01,ctown_fs_ws_2025_03_31_audited,ctown_fs_ws_2025_03_31_audited_p017,17,ae ee,Notes,note_disclosure_table,,"[""2016"", ""2024"", ""2025"", ""2026"", ""2027"", ""2028"", ""2029"", ""2030""]",True,ctown_fs_ws_2025_03_31_audited_p016,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_2025_03_31_audited_p018_t01,ctown_fs_ws_2025_03_31_audited,ctown_fs_ws_2025_03_31_audited_p018,18,CHARLOTTETOWN WATER AND SEWER CORPORATION,Notes,budget_reconciliation_note,,"[""2016"", ""2024"", ""2025""]",False,,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_2025_03_31_audited_p019_t01,ctown_fs_ws_2025_03_31_audited,ctown_fs_ws_2025_03_31_audited_p019,19,CHARLOTTETOWN WATER AND SEWER CORPORATION,Notes,note_disclosure_table,,"[""2024"", ""2025""]",False,,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_2025_03_31_audited_p020_t01,ctown_fs_ws_2025_03_31_audited,ctown_fs_ws_2025_03_31_audited_p020,20,CHARLOTTETOWN WATER AND SEWER CORPORATION,Notes,note_disclosure_table,,"[""2024"", ""2025""]",True,ctown_fs_ws_2025_03_31_audited_p019,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_2025_03_31_audited_p021_t01,ctown_fs_ws_2025_03_31_audited,ctown_fs_ws_2025_03_31_audited_p021,21,CHARLOTTETOWN WATER AND SEWER CORPORATION,Schedules,tangible_capital_assets_schedule,,"[""2024"", ""2025""]",False,,profiled_for_gate_3_schema_spike,medium,[]
