table_key,document_key,page_key,page_number,title_guess,section,table_family,statement_class,periods,continuation_candidate,continuation_of_page_key,disposition,confidence,review_reasons
ctown_fs_ws_sa_2023_12_31_audited_p006_t01,ctown_fs_ws_sa_2023_12_31_audited,ctown_fs_ws_sa_2023_12_31_audited_p006,6,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,Primary statements,financial_position,financial_position,"[""2022"", ""2023""]",False,,profiled_for_gate_3_schema_spike,high,[]
ctown_fs_ws_sa_2023_12_31_audited_p007_t01,ctown_fs_ws_sa_2023_12_31_audited,ctown_fs_ws_sa_2023_12_31_audited_p007,7,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,Primary statements,changes_in_net_assets_available_for_benefits,changes_in_net_assets_available_for_benefits,"[""2022"", ""2023""]",False,,profiled_for_gate_3_schema_spike,high,[]
ctown_fs_ws_sa_2023_12_31_audited_p008_t01,ctown_fs_ws_sa_2023_12_31_audited,ctown_fs_ws_sa_2023_12_31_audited_p008,8,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,Primary statements,changes_in_pension_obligations,changes_in_pension_obligations,"[""2022"", ""2023""]",False,,profiled_for_gate_3_schema_spike,high,[]
ctown_fs_ws_sa_2023_12_31_audited_p009_t01,ctown_fs_ws_sa_2023_12_31_audited,ctown_fs_ws_sa_2023_12_31_audited_p009,9,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,Notes,note_disclosure_table,,"[""1945"", ""2000"", ""2023""]",False,,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p010_t01,ctown_fs_ws_sa_2023_12_31_audited,ctown_fs_ws_sa_2023_12_31_audited_p010,10,I eS,Notes,note_disclosure_table,,"[""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p009,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p011_t01,ctown_fs_ws_sa_2023_12_31_audited,ctown_fs_ws_sa_2023_12_31_audited_p011,11,ee ea ee),Notes,note_disclosure_table,,"[""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p010,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p012_t01,ctown_fs_ws_sa_2023_12_31_audited,ctown_fs_ws_sa_2023_12_31_audited_p012,12,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,Notes,note_disclosure_table,,"[""2022"", ""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p011,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p013_t01,ctown_fs_ws_sa_2023_12_31_audited,ctown_fs_ws_sa_2023_12_31_audited_p013,13,aC Pe,Notes,note_disclosure_table,,"[""2022"", ""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p012,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p014_t01,ctown_fs_ws_sa_2023_12_31_audited,ctown_fs_ws_sa_2023_12_31_audited_p014,14,ee ee ee.,Notes,note_disclosure_table,,"[""2022"", ""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p013,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p015_t01,ctown_fs_ws_sa_2023_12_31_audited,ctown_fs_ws_sa_2023_12_31_audited_p015,15,"a eee,",Notes,note_disclosure_table,,"[""2022"", ""2023"", ""2025""]",True,ctown_fs_ws_sa_2023_12_31_audited_p014,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p016_t01,ctown_fs_ws_sa_2023_12_31_audited,ctown_fs_ws_sa_2023_12_31_audited_p016,16,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,Notes,note_disclosure_table,,"[""2022"", ""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p015,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p017_t01,ctown_fs_ws_sa_2023_12_31_audited,ctown_fs_ws_sa_2023_12_31_audited_p017,17,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,Notes,note_disclosure_table,,"[""2022"", ""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p016,profiled_for_gate_3_schema_spike,medium,[]
ctown_fs_ws_sa_2023_12_31_audited_p018_t01,ctown_fs_ws_sa_2023_12_31_audited,ctown_fs_ws_sa_2023_12_31_audited_p018,18,CHARLOTTETOWN WATER AND SEWER CORPORATION SUPERANNUATION PLAN,Notes,note_disclosure_table,,"[""2022"", ""2023""]",True,ctown_fs_ws_sa_2023_12_31_audited_p017,profiled_for_gate_3_schema_spike,medium,[]
