                                                             REGIONAL DISTRICT GOVERNMENTS               47




EXHIBIT 4–1:           REGIONAL DISTRICTS IN BRITISH COLUMBIA

Regional Districts                                                       Estimated 2006 Population
and BC Regions                   Area sq km   Area percent       Total       Per sq km         Percent

 Stikine (unincorporated)          129,490         13.7%        1,179             0.01          0.03%
 Northern Rockies                   85,808          9.1%        6,447             0.08          0.15%
 Skeena-Queen Charlotte             16,233          1.7%       20,807             1.28          0.48%
 Kitimat-Stikine                   102,620         10.9%       40,262             0.39          0.93%
 Bulkley-Nechako                    77,821          8.2%       40,393             0.52          0.93%
 Peace River                       119,337         12.6%       61,165             0.51          1.42%
 Cariboo                            82,524          8.7%       65,642             0.80          1.52%
 Fraser-Fort George                 51,999          5.5%       97,301             1.87          2.25%
 Total – Northern BC               665,832         70.4%      333,196             0.50          7.71%


 Kootenay-Boundary                    8,300         0.9%       32,422             3.91          0.75%
 Columbia Shuswap                   30,107          3.2%       52,685             1.75          1.22%
 East Kootenay                      27,568          2.9%       58,456             2.12          1.35%
 Central Kootenay                   23,157          2.4%       58,891             2.54          1.36%
 North Okanagan                       7,872         0.8%       81,173            10.31          1.88%
 Okanagan-Similkameen               11,018          1.2%       83,529             7.58          1.93%
 Thompson-Nicola                    45,279          4.8%      128,671             2.84          2.98%
 Central Okanagan                     2,956         0.3%      170,091            57.54          3.94%
 Total – Southeast BC              156,257         16.5%      665,918             4.26        15.41%


 Central Coast                      25,181          2.7%        3,385             0.13          0.08%
 Mount Waddington                   20,249          2.1%       12,341             0.61          0.29%
 Powell River                         5,264         0.6%       20,641             3.92          0.48%
 Alberni-Clayoquot                    6,885         0.7%       32,260             4.69          0.75%
 Cowichan Valley                      3,508         0.4%       80,731            23.01          1.87%
 Comox-Strathcona*                  20,292          2.1%      106,671             5.26          2.47%
 Nanaimo                              2,081         0.2%      145,339            69.84          3.36%
 Capital                              2,441         0.3%      362,447           148.48          8.39%
 Total – Island & Lower Coast       85,901          9.1%      763,815             8.89        17.68%


 Sunshine Coast                       3,824         0.4%       29,065             7.60          0.67%
 Squamish-Lillooet                  16,692          1.8%       37,065             2.22          0.86%
 Fraser Valley                      14,260          1.5%      269,583            18.90          6.24%
 Greater Vancouver                    2,932         0.3%     2,221,613          757.71        51.42%
 Total – Southwest Mainland         37,708          4.0%     2,557,326           67.82        59.19%


 Total – British Columbia          945,698       100.00%     4,320,255            4.57       100.00%


Source: BC Stats

