pair_key,original_zone,original_zone_name,updated_zone,updated_zone_name,affected_property_count,distinct_pid_count,missing_pid_record_count,distinct_pids,use_comparison_status,added_permitted_use_count,removed_permitted_use_count,shared_permitted_use_count,added_permitted_uses,removed_permitted_uses,source_original,source_updated_draft
[none] -> [none],,,,,6,6,0,335448;336545;372516;452094;841494;885608,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
[none] -> RN,,,RN,Neighbourhood,3,3,0,372508;504720;613711,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
C1 -> GC,C1,Business Office Commercial,GC,Growth Corridor,24,19,0,276436;276444;276451;276469;276527;276535;276543;276964;276972;365072;365080;365098;372615;395061;395079;452318;557637;600411;751701,comparable,41,1,8,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Fire Station; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Library; Light manufacturing; Multi-unit Dwelling; Outdoor Retail Display; Parking structure; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",Educational Institution,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
C1 -> RN,C1,Business Office Commercial,RN,Neighbourhood,8,4,0,361121;601187;676585;730903,comparable,4,9,0,Government Offices; Library; Semi Detached Dwelling; Single Detached Dwelling,"Convenience Store; Educational Institution; Funeral Establishment; Laundromat; Medical, Health and Dental Office; Office; Parking Lot; Personal Service Shop; Retail Store",data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
C2 -> [none],C2,Highway Commercial,,,1,1,0,444919,no_zone_overlap,0,0,0,,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
C2 -> BP,C2,Highway Commercial,BP,Business Park,11,9,0,1034370;1034909;1110642;1114909;387381;387399;387423;388207;462739,comparable,39,0,0,"Assembly facility; Automobile Body Shop; Automobile Sales and Services; Club; Commercial Daycare Centre; Cultural Establishment; Distribution centre; Educational Institution (private); Educational Institution (public); Equipment Sales, Rental Service; Fire Station; Garden Centre; Greenhouse (private industrial); Hostel; Hotel; Kennel; Light manufacturing; Manufacturing, Light; Marijuana Production Facility; Medical, Health and Dental Office; Office; Outdoor Retail Display; Outdoor Storage; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Recreation or Fitness Centre (indoors); Research and Development Facilities; Retail store; Retail Warehouse; Service Repair Establishment; Storage facility; Transitional Housing; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
C2 -> GC,C2,Highway Commercial,GC,Growth Corridor,113,98,0,1014083;1023613;1052273;1058593;1063775;1063817;1074087;1076207;1078260;1083773;1093095;1094523;1095678;1097930;1119973;1119981;1120617;1121672;1122555;1122696;1122738;1122746;1124460;1127877;1145416;134999;145375;145383;145391;145409;145417;145441;145458;145466;145490;145508;145516;145755;145763;145797;145995;146027;358770;373043;385278;386557;387365;387407;387449;387472;387498;387530;387548;387555;387563;387571;387829;387837;387845;387852;387878;387886;387894;387910;387928;388199;430223;430306;430322;444885;444901;455642;457358;469775;469841;491647;502609;537993;577585;598482;621722;621730;626457;635763;639864;673038;679464;691139;691550;696989;703603;751628;854216;859066;865501;889873;893081;996975,comparable,49,0,0,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Convenience Store; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Fire Station; Funeral Establishment; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Laundromat; Library; Light manufacturing; Medical, Health and Dental Office; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
C2 -> GN,C2,Highway Commercial,GN,Growth Node,19,15,0,1113224;278168;373076;373084;387233;387241;387589;387597;387605;387613;387639;387647;387654;387795;404731,comparable,49,0,0,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Commercial Daycare Centre; Community Care Facility; Community Institutional; Convenience Store; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Fire Station; Funeral Establishment; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Laundromat; Library; Light manufacturing; Medical, Health and Dental Office; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
C2 -> RN,C2,Highway Commercial,RN,Neighbourhood,2,2,0,1112135;746610,comparable,4,0,0,Government Offices; Library; Semi Detached Dwelling; Single Detached Dwelling,,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
C3 -> GC,C3,Shopping Centre Commercial,GC,Growth Corridor,36,25,0,1030642;1072792;358564;358572;358580;358598;358622;358754;372110;372136;372276;387308;387779;396515;396622;396630;397372;397398;444679;470179;491639;578922;578930;683904;712851,comparable,48,3,1,"Assembly facility; Automobile Sales and Services; Cannabis Retail Store; Cemetery; Commercial Daycare Centre; Community Institutional; Convenience Store; Cultural Establishment; Distribution centre; Dormitory; Eating and Drinking Establishment; Educational Institution (private); Educational Institution (public); Entertainment Establishment; Equipment Sales, Rental Service; Fire Station; Funeral Establishment; Garden Centre; Government Offices; Greenhouse (nursery retail); Grocery Store; Hospital; Hostel; Hotel; Laundromat; Library; Light manufacturing; Medical, Health and Dental Office; Multi-unit Dwelling; Office; Outdoor Retail Display; Parking lot; Parking structure; Personal Service Shop; Place of Worship; Police Station; Public Utility Service Operation; Recreation or Fitness Centre (indoors); Retail store; Retail Warehouse; Service Repair Establishment; Shopping Centre; Storage facility; Theatre; Transport Terminal; Transportation Service; Veterinary Services; Warehouse",Duplex Dwellings; Nursing Home; Semi-detached Dwellings,data/zoning/charlottetown/zones,data/zoning/charlottetown-draft-2026-07-30/zones
