source_id,height_lidar_m,height_lidar_method,height_lidar_confidence,height_lidar_status,height_lidar_source_tiles,height_lidar_point_count,height_lidar_roof_m,height_lidar_ground_m,height_lidar_updated_at,height_lidar_provenance
1,15.93,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},73340,24.099,8.169,2026-05-06T22:11:50.454990+00:00,"{""area_m2"": 10211.252, ""ground_buffer_m"": 3, ""ground_p50_m"": 9.562, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 23.792, ""roof_p98_m"": 25.898, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
2,17.78,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},6335,26.531,8.748,2026-05-06T22:11:50.455396+00:00,"{""area_m2"": 886.251, ""ground_buffer_m"": 3, ""ground_p50_m"": 9.186, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 26.074, ""roof_p98_m"": 27.177, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
3,20.27,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},2700,28.944,8.679,2026-05-06T22:11:50.455753+00:00,"{""area_m2"": 380.587, ""ground_buffer_m"": 3, ""ground_p50_m"": 9.947, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 28.619, ""roof_p98_m"": 29.005, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
4,7.25,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_686000.copc.laz},28830,9.102,1.854,2026-05-06T22:11:50.456713+00:00,"{""area_m2"": 2192.514, ""ground_buffer_m"": 3, ""ground_p50_m"": 2.567, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 9.082, ""roof_p98_m"": 9.125, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
5,11.67,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},25656,13.429,1.758,2026-05-06T22:11:50.457626+00:00,"{""area_m2"": 2873.411, ""ground_buffer_m"": 3, ""ground_p50_m"": 2.335, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 13.036, ""roof_p98_m"": 13.657, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
6,12.14,roof_p95_minus_ground_p05_v1,high,derived,"{pei_2020_389000_687000.copc.laz,pei_2020_390000_687000.copc.laz}",24301,20.848,8.704,2026-05-06T22:11:50.458209+00:00,"{""area_m2"": 2976.464, ""ground_buffer_m"": 3, ""ground_p50_m"": 9.192, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 20.776, ""roof_p98_m"": 21.794, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
7,14.58,roof_p95_minus_ground_p05_v1,high,derived,"{pei_2020_390000_686000.copc.laz,pei_2020_390000_687000.copc.laz}",23580,22.238,7.655,2026-05-06T22:11:50.458757+00:00,"{""area_m2"": 3404.365, ""ground_buffer_m"": 3, ""ground_p50_m"": 10.775, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 21.938, ""roof_p98_m"": 22.953, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
8,27.28,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},37810,35.304,8.029,2026-05-06T22:11:50.459684+00:00,"{""area_m2"": 5103.281, ""ground_buffer_m"": 3, ""ground_p50_m"": 8.309, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 35.249, ""roof_p98_m"": 35.367, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
9,8.17,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_389000_689000.copc.laz},7428,24.807,16.639,2026-05-06T22:11:50.460132+00:00,"{""area_m2"": 942.51, ""ground_buffer_m"": 3, ""ground_p50_m"": 17.261, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 24.476, ""roof_p98_m"": 24.994, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
10,6.86,roof_p95_minus_ground_p05_v1,high,derived,{pei_2020_390000_687000.copc.laz},15028,22.871,16.011,2026-05-06T22:11:50.460675+00:00,"{""area_m2"": 1841.156, ""ground_buffer_m"": 3, ""ground_p50_m"": 16.133, ""height_definition"": ""roof_p95_m - ground_p05_m"", ""lidar_srid"": 2961, ""roof_p90_m"": 22.854, ""roof_p98_m"": 22.916, ""source_building_table"": ""public.\""CHTWN_OSM_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar""}"
