source_parcel_fid,ground_elev_min_m,ground_elev_p50_m,ground_elev_max_m,ground_relief_m,slope_p50_deg,slope_p95_deg,low_point_elev_m,terrain_point_count,canopy_cover_ratio_2m,canopy_height_p50_m,canopy_height_p95_m,tall_canopy_cover_ratio_8m,vegetation_point_count,lidar_source_tiles,lidar_metric_method,lidar_metric_confidence,lidar_metric_flags,lidar_metric_updated_at,lidar_metric_provenance
1,31.587,46.801,56.763,25.176,,,31.587,8876886,0.58402,2.884,10.922,0.14473,12855162,"{pei_2020_389000_691000.copc.laz,pei_2020_389000_692000.copc.laz,pei_2020_389000_693000.copc.laz,pei_2020_389000_694000.copc.laz,pei_2020_390000_691000.copc.laz,pei_2020_390000_692000.copc.laz,pei_2020_390000_693000.copc.laz,pei_2020_390000_694000.copc.laz,pei_2020_390000_695000.copc.laz}",parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
2,32.29,46.352,52.244,19.954,,,32.29,1531291,0.59662,2.519,8.392,0.05836,4204149,"{pei_2020_390000_693000.copc.laz,pei_2020_390000_694000.copc.laz,pei_2020_391000_693000.copc.laz,pei_2020_391000_694000.copc.laz}",parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
3,32.712,36.559,47.205,14.493,,,32.712,246532,0.90615,9.522,20.081,0.60103,4368375,"{pei_2020_390000_694000.copc.laz,pei_2020_391000_694000.copc.laz,pei_2020_391000_695000.copc.laz}",parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
4,38.272,47.216,54.568,16.296,,,38.272,2128464,0.6724,3.276,13.372,0.24372,4222048,"{pei_2020_391000_693000.copc.laz,pei_2020_391000_694000.copc.laz,pei_2020_392000_693000.copc.laz,pei_2020_392000_694000.copc.laz}",parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
5,36.416,44.518,50.105,13.689,,,36.416,328696,0.48729,1.895,16.027,0.12853,534312,{pei_2020_392000_693000.copc.laz},parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
6,21.685,30.246,46.419,24.734,,,21.685,1004082,0.79152,4.945,18.478,0.29965,1602068,"{pei_2020_392000_693000.copc.laz,pei_2020_393000_693000.copc.laz}",parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
7,24.384,27.394,28.805,4.421,,,24.384,65076,0.05019,0.453,1.625,0.0,137808,{pei_2020_393000_693000.copc.laz},parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
8,23.757,26.676,27.977,4.22,,,23.757,40368,0.14925,0.838,4.181,0.0,77256,{pei_2020_393000_693000.copc.laz},parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
9,24.343,26.407,27.772,3.429,,,24.343,30276,0.13187,0.656,4.516,0.0,54288,{pei_2020_393000_693000.copc.laz},parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
10,23.051,24.373,24.579,1.528,,,23.051,10788,0.0,0.107,0.349,0.0,21228,{pei_2020_393000_693000.copc.laz},parcel_lidar_metrics_direct_points_v1,medium,{canopy_building_overlap_uncertain},2026-05-06T23:40:28.178797+00:00,"{""canopy_method"": ""non-ground_candidate_returns_minus_ground_p50; not building-masked in v1"", ""lidar_srid"": 2961, ""max_points_per_tile"": 25000, ""max_samples_per_class"": 20000, ""source_building_table"": ""public.\""CHTWN_Buildings\"""", ""source_lidar_dir"": ""maps/pei/lidar"", ""source_parcel_table"": ""public.\""CHTWN_Parcel_Map\"""", ""terrain_method"": ""classified_ground_points_inside_parcel""}"
