osm_type,osm_id,building,name,levels,source_tags,geom_wkt
"way","961998710","house","","","{""building"":""house""}","POLYGON((-63.1964563 46.2275287,-63.1964598 46.2274369,-63.1962510 46.2274369,-63.1962510 46.2275274,-63.1964333 46.2275446,-63.1964563 46.2275287))"
"way","961998711","house","","","{""building"":""house""}","POLYGON((-63.1969818 46.2276046,-63.1969801 46.2275128,-63.1967606 46.2275115,-63.1967606 46.2276058,-63.1969818 46.2276046))"
"way","961998712","house","","","{""building"":""house""}","POLYGON((-63.1967129 46.2280979,-63.1968279 46.2280918,-63.1968226 46.2280428,-63.1968757 46.2280220,-63.1968721 46.2278470,-63.1967341 46.2278555,-63.1967376 46.2279131,-63.1967005 46.2279216,-63.1967306 46.2280049,-63.1967129 46.2280979))"
"way","961998709","house","","","{""building"":""house""}","POLYGON((-63.1958015 46.2276009,-63.1957555 46.2274956,-63.1956086 46.2275348,-63.1956405 46.2276364,-63.1956529 46.2276535,-63.1957325 46.2276376,-63.1957307 46.2276254,-63.1958015 46.2276009))"
"way","1346184612","yes","","","{""building"":""yes""}","POLYGON((-63.1917315 46.2272928,-63.1914316 46.2273540,-63.1913594 46.2271848,-63.1914335 46.2271697,-63.1914519 46.2271877,-63.1915440 46.2271689,-63.1915322 46.2271414,-63.1916561 46.2271161,-63.1917315 46.2272928))"
"way","1346184621","yes","","","{""building"":""yes""}","POLYGON((-63.1902085 46.2274913,-63.1902850 46.2274783,-63.1903011 46.2275236,-63.1904194 46.2275035,-63.1904018 46.2274541,-63.1904899 46.2274391,-63.1905530 46.2276169,-63.1902701 46.2276650,-63.1902085 46.2274913))"
"way","1346184622","yes","","","{""building"":""yes""}","POLYGON((-63.1906522 46.2273986,-63.1907318 46.2273806,-63.1907564 46.2274198,-63.1908743 46.2273922,-63.1908559 46.2273467,-63.1909509 46.2273276,-63.1910229 46.2275025,-63.1907318 46.2275714,-63.1906522 46.2273986))"
"way","1346184623","yes","","","{""building"":""yes""}","POLYGON((-63.1909528 46.2279398,-63.1904195 46.2280672,-63.1903419 46.2279119,-63.1908752 46.2277844,-63.1909528 46.2279398))"
"way","1346184624","yes","","","{""building"":""yes""}","POLYGON((-63.1912778 46.2278792,-63.1910525 46.2279255,-63.1909449 46.2276749,-63.1911703 46.2276286,-63.1912778 46.2278792))"
"way","1346184625","yes","","","{""building"":""yes""}","POLYGON((-63.1910361 46.2282908,-63.1906032 46.2283872,-63.1905360 46.2282428,-63.1909688 46.2281463,-63.1910361 46.2282908))"
"way","1346184626","yes","","","{""building"":""yes""}","POLYGON((-63.1914540 46.2283437,-63.1912428 46.2283892,-63.1911049 46.2280830,-63.1913162 46.2280375,-63.1914540 46.2283437))"
"way","1346184627","yes","","","{""building"":""yes""}","POLYGON((-63.1916075 46.2286972,-63.1914157 46.2287405,-63.1912676 46.2284265,-63.1914595 46.2283832,-63.1916075 46.2286972))"
"way","1346184628","yes","","","{""building"":""yes""}","POLYGON((-63.1912667 46.2287616,-63.1908482 46.2288613,-63.1907720 46.2287082,-63.1911904 46.2286084,-63.1912667 46.2287616))"
"way","1346184629","yes","","","{""building"":""yes""}","POLYGON((-63.1914376 46.2291065,-63.1910025 46.2291975,-63.1909342 46.2290414,-63.1913693 46.2289503,-63.1914376 46.2291065))"
"way","1346184630","yes","","","{""building"":""yes""}","POLYGON((-63.1918255 46.2291557,-63.1916240 46.2291990,-63.1914938 46.2289096,-63.1916954 46.2288662,-63.1918255 46.2291557))"
"way","1346184631","yes","","","{""building"":""yes""}","POLYGON((-63.1926416 46.2289710,-63.1924485 46.2290123,-63.1923136 46.2287104,-63.1925067 46.2286691,-63.1926416 46.2289710))"
"way","1346184632","yes","","","{""building"":""yes""}","POLYGON((-63.1931823 46.2286979,-63.1927312 46.2287932,-63.1926690 46.2286522,-63.1931201 46.2285570,-63.1931823 46.2286979))"
"way","1346184633","yes","","","{""building"":""yes""}","POLYGON((-63.1930458 46.2283400,-63.1925019 46.2284575,-63.1924297 46.2282975,-63.1929736 46.2281800,-63.1930458 46.2283400))"
"way","1346184634","yes","","","{""building"":""yes""}","POLYGON((-63.1924148 46.2284988,-63.1921994 46.2285450,-63.1920976 46.2283177,-63.1923130 46.2282716,-63.1924148 46.2284988))"
"way","1346184635","yes","","","{""building"":""yes""}","POLYGON((-63.1928321 46.2279247,-63.1924101 46.2280104,-63.1923451 46.2278572,-63.1924702 46.2278318,-63.1924615 46.2278113,-63.1926593 46.2277711,-63.1926696 46.2277953,-63.1927687 46.2277751,-63.1928321 46.2279247))"
"way","1346184636","yes","","","{""building"":""yes""}","POLYGON((-63.1918695 46.2279884,-63.1919572 46.2279701,-63.1919467 46.2279459,-63.1921904 46.2278952,-63.1922028 46.2279238,-63.1922943 46.2279047,-63.1923582 46.2280518,-63.1919353 46.2281398,-63.1918695 46.2279884))"
"way","1346184637","yes","","","{""building"":""yes""}","POLYGON((-63.1926358 46.2274557,-63.1925330 46.2274780,-63.1925398 46.2274930,-63.1923134 46.2275420,-63.1923037 46.2275205,-63.1922120 46.2275403,-63.1921527 46.2274091,-63.1925737 46.2273181,-63.1926358 46.2274557))"
"way","1346184638","yes","","","{""building"":""yes""}","POLYGON((-63.1921566 46.2275687,-63.1920591 46.2275885,-63.1920662 46.2276053,-63.1918344 46.2276525,-63.1918279 46.2276371,-63.1917373 46.2276556,-63.1916790 46.2275188,-63.1920989 46.2274332,-63.1921566 46.2275687))"
"way","1346184639","yes","","","{""building"":""yes""}","POLYGON((-63.1933924 46.2272767,-63.1931889 46.2273089,-63.1931811 46.2272855,-63.1930399 46.2273079,-63.1930054 46.2272038,-63.1931471 46.2271813,-63.1931416 46.2271648,-63.1933447 46.2271326,-63.1933924 46.2272767))"
"way","1368602297","barn","","","{""building"":""barn""}","POLYGON((-63.1836046 46.2358050,-63.1835203 46.2356046,-63.1838305 46.2355422,-63.1837516 46.2353546,-63.1832635 46.2354529,-63.1833271 46.2356041,-63.1832821 46.2356131,-63.1833816 46.2358499,-63.1836046 46.2358050))"
"way","1368602299","barn","","","{""building"":""barn""}","POLYGON((-63.1840905 46.2357220,-63.1840466 46.2356165,-63.1837927 46.2356671,-63.1838366 46.2357726,-63.1840905 46.2357220))"
"way","1368602309","house","","","{""building"":""house""}","POLYGON((-63.1849963 46.2381348,-63.1850505 46.2380600,-63.1850067 46.2380449,-63.1850312 46.2380112,-63.1850086 46.2379675,-63.1850502 46.2379572,-63.1849888 46.2378387,-63.1848318 46.2378776,-63.1848790 46.2379687,-63.1849032 46.2379627,-63.1849194 46.2379941,-63.1849399 46.2379890,-63.1849516 46.2380115,-63.1848891 46.2380976,-63.1849963 46.2381348))"
"way","1368599555","house","","","{""building"":""house""}","POLYGON((-63.1772594 46.2328111,-63.1771823 46.2326718,-63.1770562 46.2327052,-63.1771332 46.2328445,-63.1772594 46.2328111))"
"way","1368599556","yes","","","{""building"":""yes""}","POLYGON((-63.1774682 46.2326264,-63.1774390 46.2325610,-63.1773282 46.2325846,-63.1773575 46.2326501,-63.1774682 46.2326264))"
"way","1368599568","house","","","{""building"":""house""}","POLYGON((-63.1783196 46.2357829,-63.1781724 46.2356634,-63.1780770 46.2357196,-63.1782242 46.2358391,-63.1783196 46.2357829))"
"way","1368599569","house","","","{""building"":""house""}","POLYGON((-63.1778960 46.2356441,-63.1780364 46.2355502,-63.1778574 46.2354222,-63.1777746 46.2354775,-63.1778688 46.2355449,-63.1778112 46.2355834,-63.1778960 46.2356441))"
"way","1368599570","house","","","{""building"":""house""}","POLYGON((-63.1786959 46.2370234,-63.1787890 46.2369609,-63.1785847 46.2368154,-63.1784917 46.2368779,-63.1786959 46.2370234))"
"way","1368602301","house","","","{""building"":""house""}","POLYGON((-63.1829564 46.2356728,-63.1829016 46.2355607,-63.1828131 46.2355813,-63.1828187 46.2355928,-63.1827534 46.2356080,-63.1827397 46.2355799,-63.1827618 46.2355748,-63.1827327 46.2355151,-63.1825545 46.2355567,-63.1825995 46.2356488,-63.1826606 46.2356346,-63.1826846 46.2356838,-63.1828386 46.2356478,-63.1828617 46.2356950,-63.1829564 46.2356728))"
"way","1368602302","house","","","{""building"":""house""}","POLYGON((-63.1823878 46.2355107,-63.1823700 46.2354710,-63.1824369 46.2354566,-63.1823939 46.2353610,-63.1823317 46.2353744,-63.1823090 46.2353239,-63.1822243 46.2353421,-63.1823077 46.2355279,-63.1823878 46.2355107))"
"way","1368602295","barn","","","{""building"":""barn""}","POLYGON((-63.1843275 46.2366641,-63.1842542 46.2365134,-63.1829394 46.2368198,-63.1830126 46.2369702,-63.1843275 46.2366641))"
"way","1368602296","barn","","","{""building"":""barn""}","POLYGON((-63.1835700 46.2364635,-63.1835029 46.2363308,-63.1825232 46.2365682,-63.1825903 46.2367007,-63.1835700 46.2364635))"
"way","1368602298","barn","","","{""building"":""barn""}","POLYGON((-63.1832948 46.2358326,-63.1832146 46.2356476,-63.1830465 46.2356825,-63.1831266 46.2358675,-63.1832948 46.2358326))"
